Tahun_Ajaran,Tahun_Penduduk,Kecamatan,Jumlah_Penduduk,Jumlah_Guru_SD,Jumlah_Siswa_SD,Jumlah_Rombel_SD,Rasio_Siswa_Guru,Jumlah_Penduduk_Zscore,Jumlah_Guru_SD_Zscore,Jumlah_Siswa_SD_Zscore,Jumlah_Rombel_SD_Zscore,Rasio_Siswa_Guru_Zscore
2022-2023,2022,Seberang Ulu I,93.013,299,6193,230,20.712374581939798,-0.09251918066873041,-0.6498899671521672,-0.37138345362915115,-0.6413633469403971,0.2576623716753122
2022-2023,2022,Seberang Ulu II,101.445,302,577,227,1.9105960264900663,0.15142132320829646,-0.6324686206105375,-1.6530443357971027,-0.663909180209575,-2.7993456441357436
2022-2023,2022,Sematang Borang,62.538,129,3434,110,26.62015503875969,-0.9741708476104295,-1.6370996045111785,-1.001031312229824,-1.543196677707514,1.2182168298021232
2022-2023,2022,Sukarami,196.752,656,1877,580,2.861280487804878,2.9086838472841783,1.4232502713017567,-1.3563635760360029,1.9889838677970268,-2.644772500420889
2023-2024,2023,Alang-Alang Lebar,113.578,397,8171,287,20.581863979848865,0.5024329614364716,-0.08079264679226654,0.08002773314581471,-0.21299251482601664,0.23644246657092696
2023-2024,2023,Bukit Kecil,38.226,266,4995,194,18.778195488721803,-1.677524919035748,-0.8415247791100929,-0.6447861845474571,-0.9119133461705322,-0.0568185682285212
2023-2024,2023,Gandus,81.146,298,6237,235,20.92953020134228,-0.4358353523372175,-0.6556970826660438,-0.3613419509910832,-0.603786958158434,0.2929700138344838
2023-2024,2023,Ilir Barat I,151.894,775,14119,544,18.218064516129033,1.6109273099364925,2.1142970174530644,1.4374563170373704,1.7184338685668918,-0.14789106267739446
2023-2024,2023,Ilir Barat II,69.665,177,4045,153,22.853107344632768,-0.767984418396533,-1.3583580598451048,-0.861591355142107,-1.2200397341826303,0.6057271675647892
2023-2024,2023,Ilir Timur I,66.26,332,5931,242,17.8644578313253,-0.8664921764256219,-0.4582551551942415,-0.43117603751946515,-0.5511800138636854,-0.20538447835088464
2023-2024,2023,Ilir Timur II,84.949,367,6613,271,18.019073569482288,-0.32581332479400904,-0.2550061122085627,-0.2755327466294112,-0.3332369589282989,-0.18024528476223062
2023-2024,2023,Ilir Timur III,74.431,334,5796,224,17.353293413173652,-0.6301024874812211,-0.4466409241664884,-0.4619851933408101,-0.6864550134787529,-0.28849543081096707
2023-2024,2023,Jakabaring,93.83,408,869,321,2.1299019607843137,-0.06888310480683175,-0.016914376139624633,-1.5864052728353788,0.04252692889133311,-2.7636883792086375
2023-2024,2023,Kalidoni,130.828,667,13824,529,20.725637181409294,1.0014810747996974,1.4871285419543985,1.3701326061685053,1.6057047022210023,0.2598187566560824
2023-2024,2023,Kemuning,81.977,627,11246,415,17.936204146730464,-0.4117942519195455,1.254843921399337,0.7817918379653395,0.7489630379922413,-0.19371914250770067
2023-2024,2023,Kertapati,98.434,437,9286,371,21.24942791762014,0.06431211339167786,0.15149197376279494,0.33448853863321965,0.41829081671096513,0.3449826401941112
2023-2024,2023,Plaju,98.426,503,10049,391,19.978131212723657,0.0640806707883791,0.5347615976786464,0.5086173230160805,0.568596371838818,0.1382806941052792
2023-2024,2023,Sako,115.585,448,1011,334,2.2566964285714284,0.5604961245390797,0.21537024441543687,-1.5539986052307049,0.14022553972443744,-2.743072685685678
2023-2024,2023,Seberang Ulu I,94.662,291,5999,232,20.61512027491409,-0.044813074063747245,-0.6963468912631795,-0.41565735162426914,-0.6263327914276119,0.24184965506060863
2023-2024,2023,Seberang Ulu II,105.784,309,5784,227,18.718446601941746,0.2769500051725308,-0.5918188120134018,-0.4647237849693741,-0.663909180209575,-0.06653322502461868
2023-2024,2023,Sematang Borang,67.447,142,3634,116,25.591549295774648,-0.8321518801611496,-1.5616071028307836,-0.955388118420424,-1.498105011169158,1.0509743536639742
2023-2024,2023,Sukarami,205.37,743,19382,618,26.08613728129206,3.1580053916879045,1.9284693210090154,2.638556962131731,2.2745644225399473,1.1313901202783687
2024-2025,2024,Alang-Alang Lebar,116.594,428,829,301,1.9369158878504673,0.589686822880152,0.09922793413790612,-1.5955339115972589,-0.1077786262365197,-2.7950662603042353
2024-2025,2024,Bukit Kecil,38.195,284,4941,196,17.39788732394366,-1.678421759123531,-0.7369966998603152,-0.657109846875995,-0.8968827906577469,-0.28124484319883064
2024-2025,2024,Gandus,83.882,321,6355,244,19.797507788161994,-0.3566819820089979,-0.5221334258468834,-0.3344124666435372,-0.5361494583509002,0.10891287365681422
2024-2025,2024,Ilir Barat I,154.738,797,13997,553,17.56210790464241,1.6932051554092467,2.2420535587583483,1.4096139688136364,1.7860713683744256,-0.2545439845499178
2024-2025,2024,Ilir Barat II,69.871,205,4065,159,19.829268292682926,-0.762024771361587,-1.1957588254565616,-0.857027035761167,-1.1749480676442745,0.11407685942658331
2024-2025,2024,Ilir Timur I,66.124,358,5677,239,15.85754189944134,-0.8704267006817032,-0.3072701518334515,-0.4891428936574031,-0.5737258471328633,-0.531691804688897
2024-2025,2024,Ilir Timur II,85.005,362,6632,280,18.320441988950275,-0.32419322657091687,-0.28404168977794536,-0.2711966432175182,-0.2655994591207651,-0.13124536322241914
2024-2025,2024,Ilir Timur III,74.562,341,5869,232,17.211143695014663,-0.6263126148522018,-0.40599111556935263,-0.44532542760037913,-0.6263327914276119,-0.31160775641227884
2024-2025,2024,Jakabaring,94.583,435,8772,337,20.16551724137931,-0.04709856977132398,0.1398777427350419,0.21718553054306167,0.16277137299361535,0.1687480560073419
2024-2025,2024,Kalidoni,133.017,712,13961,548,19.60814606741573,1.0648095571273553,1.7484487400788427,1.4013981939279443,1.7484949795924625,0.07812428115733977
2024-2025,2024,Kemuning,82.167,632,11135,416,17.61867088607595,-0.406297490091197,1.2838794989687197,0.7564598654011225,0.7564783157486339,-0.24534732865214978
2024-2025,2024,Kertapati,99.576,476,9201,378,19.32983193277311,0.09735054501259391,0.3779694788039799,0.31509018126422467,0.47089776100571357,0.032872788698430876
2024-2025,2024,Plaju,99.559,527,9983,391,18.943074003795065,0.0968587294805839,0.6741323700116834,0.4935550690589786,0.568596371838818,-0.030010735090422104
2024-2025,2024,Sako,117.573,474,10254,353,21.632911392405063,0.6180096114588532,0.36635524777622686,0.5554015966707155,0.28301581709589757,0.4073337658012572
2024-2025,2024,Seberang Ulu I,96.058,299,6025,232,20.150501672240804,-0.004426339788091387,-0.6498899671521672,-0.40972373642904714,-0.6263327914276119,0.16630665318563542
2024-2025,2024,Seberang Ulu II,106.752,323,5829,230,18.046439628482972,0.30495456017169587,-0.5105191948191303,-0.45445406636225916,-0.6413633469403971,-0.17579579816288965
2024-2025,2024,Sematang Borang,70.87,156,3712,123,23.794871794871796,-0.7331233762746381,-1.4803074856365122,-0.937587272834758,-1.4454980668744095,0.758849993945069
2024-2025,2024,Sukarami,212.241,834,19528,654,23.414868105515588,3.3567856575962365,2.45691683277178,2.671876493612593,2.5451144217700823,0.697064651618346
2025-2026,2024,Alang-Alang Lebar,116.594,443,8672,316,19.575620767494357,0.589686822880152,0.18633466684605418,0.19436393363836169,0.0049505401093699105,0.07283594621162896
