Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Gandus,SD NEGERI 153 PALEMBANG,2020-2021,73953,Negeri,71,8,6
Gandus,SD NEGERI 154 PALEMBANG,2020-2021,73953,Negeri,95,9,6
Gandus,SD NEGERI 155 PALEMBANG,2020-2021,73953,Negeri,190,10,10
Gandus,SD TUNAS TELADAN PALEMBANG,2020-2021,73953,Swasta,602,23,21
Gandus,SD ISLAM TERPADU AL HIDAYAH,2021-2022,75394,Swasta,38,4,2
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2021-2022,75394,Swasta,286,12,9
Gandus,SD NEGERI 142 PALEMBANG,2021-2022,75394,Negeri,291,16,12
Gandus,SD NEGERI 143 PALEMBANG,2021-2022,75394,Negeri,764,30,24
Gandus,SD NEGERI 144 PALEMBANG,2021-2022,75394,Negeri,754,29,24
Gandus,SD NEGERI 145 PALEMBANG,2021-2022,75394,Negeri,142,11,6
Gandus,SD NEGERI 146 PALEMBANG,2021-2022,75394,Negeri,371,19,13
Gandus,SD NEGERI 147 PALEMBANG,2021-2022,75394,Negeri,351,17,12
Gandus,SD NEGERI 148 PALEMBANG,2021-2022,75394,Negeri,492,22,17
Gandus,SD NEGERI 149 PALEMBANG,2021-2022,75394,Negeri,718,31,24
Gandus,SD NEGERI 150 PALEMBANG,2021-2022,75394,Negeri,463,20,15
Gandus,SD NEGERI 151 PALEMBANG,2021-2022,75394,Negeri,268,14,11
Gandus,SD NEGERI 152 PALEMBANG,2021-2022,75394,Negeri,67,10,6
Gandus,SD NEGERI 153 PALEMBANG,2021-2022,75394,Negeri,74,8,6
Gandus,SD NEGERI 154 PALEMBANG,2021-2022,75394,Negeri,90,10,6
Gandus,SD NEGERI 155 PALEMBANG,2021-2022,75394,Negeri,204,13,10
Gandus,SD TUNAS TELADAN PALEMBANG,2021-2022,75394,Swasta,587,23,20
